Sample:	'Red_filter_silica
500.00	0.006
499.50	0.006
499.00	0.006
498.50	0.006
498.00	0.006
497.50	0.005
497.00	0.005
496.50	0.005
496.00	0.005
495.50	0.006
495.00	0.006
494.50	0.006
494.00	0.006
493.50	0.006
493.00	0.006
492.50	0.006
492.00	0.006
491.50	0.006
491.00	0.006
490.50	0.006
490.00	0.006
489.50	0.006
489.00	0.006
488.50	0.006
488.00	0.006
487.50	0.006
487.00	0.006
486.50	0.006
486.00	0.006
485.50	0.006
485.00	0.007
484.50	0.007
484.00	0.006
483.50	0.006
483.00	0.006
482.50	0.005
482.00	0.005
481.50	0.005
481.00	0.005
480.50	0.005
480.00	0.005
479.50	0.006
479.00	0.006
478.50	0.006
478.00	0.006
477.50	0.006
477.00	0.006
476.50	0.006
476.00	0.006
475.50	0.006
475.00	0.006
474.50	0.006
474.00	0.005
473.50	0.005
473.00	0.005
472.50	0.005
472.00	0.005
471.50	0.006
471.00	0.007
470.50	0.007
470.00	0.008
469.50	0.007
469.00	0.006
468.50	0.006
468.00	0.006
467.50	0.006
467.00	0.006
466.50	0.006
466.00	0.006
465.50	0.006
465.00	0.006
464.50	0.006
464.00	0.006
463.50	0.006
463.00	0.006
462.50	0.006
462.00	0.005
461.50	0.006
461.00	0.006
460.50	0.006
460.00	0.005
459.50	0.005
459.00	0.005
458.50	0.004
458.00	0.004
457.50	0.005
457.00	0.005
456.50	0.006
456.00	0.007
455.50	0.007
455.00	0.007
454.50	0.006
454.00	0.006
453.50	0.005
453.00	0.005
452.50	0.005
452.00	0.004
451.50	0.004
451.00	0.004
450.50	0.004
450.00	0.005
449.50	0.005
449.00	0.006
448.50	0.006
448.00	0.006
447.50	0.006
447.00	0.006
446.50	0.007
446.00	0.007
445.50	0.007
445.00	0.007
444.50	0.007
444.00	0.006
443.50	0.006
443.00	0.005
442.50	0.005
442.00	0.006
441.50	0.006
441.00	0.006
440.50	0.006
440.00	0.006
439.50	0.007
439.00	0.008
438.50	0.008
438.00	0.008
437.50	0.008
437.00	0.007
436.50	0.007
436.00	0.007
435.50	0.008
435.00	0.009
434.50	0.009
434.00	0.009
433.50	0.009
433.00	0.008
432.50	0.007
432.00	0.006
431.50	0.005
431.00	0.006
430.50	0.006
430.00	0.007
429.50	0.007
429.00	0.008
428.50	0.008
